0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:20 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:22 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:23 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:23 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:23 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:28 +0900] "GET /jstl_study/step4-choose.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [10/May/2023:09:47:39 +0900] "GET /jstl_study/step5-form.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [10/May/2023:09:53:11 +0900] "GET /jstl_study/step5-acrion.jsp HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/May/2023:09:53:24 +0900] "GET /jstl_study/step5-acrion.jsp HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/May/2023:09:53:56 +0900] "GET /jstl_study/step5-form.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [10/May/2023:09:53:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:09:54:04 +0900] "GET /jstl_study/step5-action.jsp HTTP/1.1" 500 3141
0:0:0:0:0:0:0:1 - - [10/May/2023:09:55:52 +0900] "GET /jstl_study/step2-2.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [10/May/2023:09:56:01 +0900] "GET /jstl_study/step2-1.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [10/May/2023:09:56:01 +0900] "GET /jstl_study/step2-2.jsp?name=%EA%B7%A4&address=%EC%A0%9C%EC%A3%BC HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [10/May/2023:09:56:03 +0900] "GET /jstl_study/step2-1.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [10/May/2023:09:56:04 +0900] "GET /jstl_study/step2-2.jsp?name=%EA%B7%A4&address=%EC%A0%9C%EC%A3%BC HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [10/May/2023:09:57:37 +0900] "GET /jstl_study/step5-action.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [10/May/2023:09:58:44 +0900] "GET /jstl_study/step5-action.jsp HTTP/1.1" 500 4417
0:0:0:0:0:0:0:1 - - [10/May/2023:09:59:00 +0900] "GET /jstl_study/step5-form.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [10/May/2023:09:59:03 +0900] "GET /jstl_study/step5-action.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [10/May/2023:10:00:44 +0900] "GET /jstl_study/step5-action.jsp HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [10/May/2023:10:00:46 +0900] "GET /jstl_study/step5-form.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [10/May/2023:10:00:51 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=15 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/May/2023:10:01:11 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=15 HTTP/1.1" 500 3141
0:0:0:0:0:0:0:1 - - [10/May/2023:10:01:13 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=15 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/May/2023:10:03:21 +0900] "GET /jstl_study/step5-form.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [10/May/2023:10:03:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:10:03:25 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=15 HTTP/1.1" 500 3141
0:0:0:0:0:0:0:1 - - [10/May/2023:10:04:54 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=15 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [10/May/2023:10:05:54 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=15 HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [10/May/2023:10:06:00 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [10/May/2023:10:06:37 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [10/May/2023:10:06:49 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [10/May/2023:10:07:31 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [10/May/2023:10:07:46 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:07:56 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:07:57 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:07:58 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:07:58 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:00 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:01 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:04 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:10 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:15 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:15 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:16 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:16 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:17 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/May/2023:10:08:38 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [10/May/2023:10:16:12 +0900] "GET /jstl_study/step5-action.jsp?name=%EA%B0%90%EC%9E%90&age=25 HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [10/May/2023:10:16:15 +0900] "GET /jstl_study/step5-form.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [10/May/2023:10:16:20 +0900] "GET /jstl_study/step5-action.jsp?name=%EC%95%8C%EA%B0%90%EC%9E%90&age=1 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [10/May/2023:10:16:31 +0900] "GET /jstl_study/step5-action.jsp?name=%EC%95%8C%EA%B0%90%EC%9E%90&age=0 HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [10/May/2023:10:16:45 +0900] "GET /jstl_study/step5-action.jsp?name=%EC%95%8C%EA%B0%90%EC%9E%90&age=0 HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [10/May/2023:10:49:19 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [10/May/2023:10:49:38 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [10/May/2023:10:49:45 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:19 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:19 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:19 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:19 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:37 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:38 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:38 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:38 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:39 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:47 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:51 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:52 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:52 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:52 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:52 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:54 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:54 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [10/May/2023:10:50:59 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [10/May/2023:10:51:04 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [10/May/2023:10:51:34 +0900] "GET /jstl_study/step5-form.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [10/May/2023:10:51:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:10:51:35 +0900] "GET /jstl_study/step6-foreach.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [10/May/2023:11:29:29 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [10/May/2023:11:29:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:11:29:47 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [10/May/2023:11:37:26 +0900] "GET /jstl_study/step6-action.jsp?name=%EA%B0%90%EC%9E%90&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:37:28 +0900] "GET /jstl_study/step6-action.jsp?name=%EA%B0%90%EC%9E%90&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:37:49 +0900] "GET /jstl_study/step6-action.jsp?name=%EA%B0%90%EC%9E%90&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:37:50 +0900] "GET /jstl_study/step6-action.jsp?name=%EA%B0%90%EC%9E%90&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:37:50 +0900] "GET /jstl_study/step6-action.jsp?name=%EA%B0%90%EC%9E%90&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:37:58 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [10/May/2023:11:38:03 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%82%AC%EA%B3%BC&fruit=%ED%8F%AC%EB%8F%84&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:38:46 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [10/May/2023:11:38:55 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/May/2023:11:39:01 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:39:43 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:54 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:40:56 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:41:27 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:42:42 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:42:43 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:42:43 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:42:44 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:43:18 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%EB%B0%94%EB%82%98%EB%82%98&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:44:28 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/May/2023:11:44:37 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%82%AC%EA%B3%BC&fruit=%ED%8F%AC%EB%8F%84 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:45:13 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%82%AC%EA%B3%BC&fruit=%ED%8F%AC%EB%8F%84 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:46:22 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/May/2023:11:46:28 +0900] "GET /jstl_study/step6-action.jsp?name=123&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%ED%8F%AC%EB%8F%84 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:47:16 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/May/2023:11:47:23 +0900] "GET /jstl_study/step6-action.jsp?name=123&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%ED%8F%AC%EB%8F%84&fruit=%EB%B0%94%EB%82%98%EB%82%98 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:48:10 +0900] "GET /jstl_study/step6-action.jsp?name=123&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80&fruit=%ED%8F%AC%EB%8F%84&fruit=%EB%B0%94%EB%82%98%EB%82%98 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:49:14 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/May/2023:11:49:19 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%82%AC%EA%B3%BC&fruit=%ED%8F%AC%EB%8F%84&fruit=%EA%B7%A4 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [10/May/2023:11:50:32 +0900] "GET /jstl_study/step6-action.jsp HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [10/May/2023:11:50:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:11:50:40 +0900] "GET /jstl_study/step6-form.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/May/2023:11:50:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:11:50:43 +0900] "GET /jstl_study/step6-action.jsp?name=%EC%A1%B0%EC%9D%80%EB%B9%84&fruit=%EC%82%AC%EA%B3%BC&fruit=%EC%98%A4%EB%9E%9C%EC%A7%80 HTTP/1.1" 200 129
